Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,890,0,0,0,0,0,0,0,0,0,0,31.94,-102,84,0,0,0,84,90,21235.101,6718,14.089,0.068,9.792,NaN,193.006,NaN,0,0,0,0.523,0.403,0,0.12,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.591,90,9.215,911.035,0.001,336.883,0.008,489910.566,15.524,189.288,0.01,0.001,0
0.01,0,890,0.012,0.012,6.93,7.145,0,0,0,0,0.003,1.741,31.94,-102,83.744,0,0,0,84,90,21231.581,6714.48,14.087,0.068,9.792,NaN,192.992,NaN,356.949,1.717,0,0.523,0.403,0,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.578,90,9.215,911.035,0.001,336.883,0.008,487886.676,15.524,189.288,0.01,0.002,0
0.02,0.001,890.001,0.164,0.167,23.655,23.913,0,0,0,90,0.029,3.499,31.94,-102,80.371,0,0,0,84,90,21228.061,6710.96,14.084,0.068,9.792,NaN,192.978,NaN,713.898,3.434,0,0.522,0.402,0,0.12,0.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.564,90,9.215,911.035,0.001,336.883,0.008,491243.385,15.524,189.288,0.01,0.002,0
0.03,0.004,890.004,0.485,0.49,40.386,40.727,0.001,0,0.001,90,0.073,5.257,31.94,-102,73.532,0,0,0,84,90,21224.541,6707.44,14.082,0.068,9.792,NaN,192.964,NaN,1070.846,5.152,0.002,0.52,0.4,0,0.12,0.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.55,90,9.215,911.035,0.001,336.883,0.008,504352.619,15.524,189.288,0.01,0.003,0
0.04,0.011,890.011,0.972,0.981,57.123,57.552,0.002,0,0.002,90,0.134,7.014,31.94,-102,63.998,0,0,0,84,90,21221.021,6703.92,14.079,0.068,9.792,NaN,192.95,NaN,1427.795,6.871,0.008,0.515,0.395,0,0.12,0.089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.537,90,9.215,911.034,0.001,336.883,0.008,537395.123,15.524,189.288,0.01,0.003,0
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.024,890.024,1.559,1.573,60.362,60.694,0.003,0,0.003,90,0.206,6.344,31.94,-102,54.26,0,0,0,84,90,21213.294,6696.193,14.073,0.068,9.792,NaN,192.92,NaN,1494.127,7.193,0.021,0.506,0.386,0,0.12,0.196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.523,90,9.215,911.033,0.001,336.883,0.009,594240.832,15.524,189.288,0.01,0.004,0
0.06,0.042,890.042,2.178,2.195,63.497,63.847,0.006,0,0.006,90,0.271,6.674,31.94,-102,46.229,0,0,0,84,90,21205.567,6688.466,14.068,0.068,9.792,NaN,192.889,NaN,1560.459,7.515,0.041,0.497,0.377,0,0.12,0.306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.54,90,9.215,911.031,0.001,336.883,0.011,672426.251,15.524,189.288,0.01,0.004,0
0.07,0.067,890.067,2.829,2.849,66.634,67.001,0.009,0,0.009,90,0.339,7.004,31.94,-102,39.679,0,0,0,84,90,21197.84,6680.74,14.062,0.068,9.792,NaN,192.859,NaN,1626.791,7.837,0.07,0.487,0.367,0,0.12,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.557,90,9.215,911.028,0.001,336.883,0.012,765561.778,15.524,189.288,0.012,0.004,0
0.082,0.106,890.106,3.651,3.676,70.402,70.79,0.013,0,0.013,90,0.426,7.4,31.94,-102,33.444,0,0,0,84,90,21188.568,6671.467,14.055,0.068,9.792,NaN,192.822,NaN,1706.389,8.224,0.115,0.475,0.355,0,0.12,0.482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.578,90,9.214,911.024,0.001,336.883,0.014,893938.489,15.524,189.288,0.01,0.005,0
0.092,0.146,890.146,4.353,4.382,70.002,70.387,0.018,0,0.018,90,0.5,7.357,31.94,-102,29.41,0,0,0,84,90,21180.366,6663.265,14.049,0.068,9.792,NaN,192.79,NaN,1697.251,8.183,0.159,0.467,0.347,0,0.12,0.524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.595,90,9.214,911.019,0.001,336.883,0.016,1009863.675,15.524,189.288,0.01,0.005,0.001
0.102,0.193,890.193,5.051,5.084,69.601,69.984,0.023,0,0.023,90,0.573,7.315,31.94,-102,26.164,0,0,0,84,90,21172.164,6655.064,14.043,0.068,9.792,NaN,192.757,NaN,1688.112,8.143,0.208,0.459,0.339,0,0.12,0.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.603,90,9.214,911.014,0.001,336.882,0.018,1128170.563,15.524,189.288,0.01,0.006,0.001
0.112,0.247,890.247,5.745,5.782,69.2,69.581,0.029,0,0.029,90,0.646,7.273,31.94,-102,23.284,0,0,0,84,90,21163.962,6646.862,14.037,0.068,9.792,NaN,192.725,NaN,1678.974,8.102,0.261,0.453,0.333,0,0.12,0.566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.576,90,9.213,911.008,0.001,336.882,0.02,1245387.498,15.524,189.288,0.01,0.006,0.001
0.122,0.308,890.308,6.435,6.475,68.798,69.177,0.036,0,0.036,90,0.719,7.231,31.94,-102,20.916,0,0,0,84,90,21155.761,6638.66,14.031,0.068,9.792,NaN,192.692,NaN,1669.836,8.061,0.317,0.447,0.327,0,0.12,0.572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.548,90,9.213,911.001,0.001,336.882,0.021,1364492.086,15.524,189.288,0.01,0.006,0.001
0.132,0.376,890.376,7.121,7.165,68.396,68.773,0.044,0,0.044,90,0.791,7.189,31.94,-102,18.94,0,0,0,84,90,21147.559,6630.458,14.025,0.068,9.792,NaN,192.66,NaN,1660.698,8.02,0.375,0.442,0.322,0,0.12,0.572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.521,90,9.213,910.993,0.001,336.882,0.023,1484827.342,15.524,189.288,0.01,0.007,0.001
0.142,0.45,890.45,7.803,7.851,67.993,68.368,0.052,0,0.052,90,0.862,7.146,31.94,-102,17.27,0,0,0,84,90,21139.357,6622.256,14.019,0.068,9.792,NaN,192.627,NaN,1651.559,7.979,0.436,0.437,0.317,0,0.12,0.568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.494,90,9.212,910.985,0.001,336.881,0.025,1605929.896,15.524,189.288,0.01,0.007,0.001
0.152,0.532,890.532,8.481,8.532,67.591,67.963,0.061,0,0.061,90,0.934,7.104,31.94,-102,15.7,0,0,0,84,90,21131.155,6614.054,14.013,0.068,9.792,NaN,192.594,NaN,1642.421,7.938,0.497,0.433,0.313,0,0.12,0.561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.441,90,9.212,910.976,0.001,336.881,0.027,1725743.299,15.524,189.288,0.01,0.007,0.001
0.162,0.62,890.62,9.155,9.21,67.188,67.558,0.071,0,0.071,90,1.004,7.062,31.94,-102,13.797,0,0,0,84,90,21122.953,6605.852,14.007,0.067,9.792,NaN,192.562,NaN,1633.283,7.896,0.55,0.429,0.309,0,0.12,0.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.291,90,9.211,910.966,0.001,336.881,0.029,1839566.776,15.524,189.288,0.01,0.008,0.001
0.172,0.715,890.715,9.825,9.884,66.785,67.153,0.081,0,0.081,90,1.075,7.019,31.94,-102,12.123,0,0,0,84,90,21114.751,6597.65,14.001,0.067,9.792,NaN,192.529,NaN,1624.144,7.855,0.6,0.426,0.306,0,0.12,0.528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.141,90,9.21,910.956,0.001,336.88,0.031,1954429.353,15.524,189.288,0.004,0.008,0.001
0.176,0.755,890.755,10.092,10.152,66.624,66.991,0.086,0,0.086,90,1.103,7.002,31.94,-102,11.509,0,0,0,84,90,21111.47,6594.37,13.999,0.067,9.792,NaN,192.516,NaN,1620.489,7.839,0.62,0.424,0.304,0,0.12,0.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.081,90,9.21,910.951,0.001,336.88,0.031,2000593.029,15.524,189.288,0.006,0.008,0.001
0.182,0.817,890.817,10.492,10.554,66.696,67.064,0.092,0,0.092,90,1.145,7.01,31.94,-102,10.639,0,0,0,84,90,21106.508,6589.407,13.995,0.067,9.792,NaN,192.496,NaN,1621.682,7.846,0.65,0.422,0.302,0,0.12,0.509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.991,90,9.21,910.944,0.001,336.88,0.033,2070195.331,15.524,189.288,0.009,0.009,0.001
0.191,0.914,890.914,11.092,11.158,66.806,67.174,0.103,0,0.103,90,1.208,7.022,31.94,-102,9.438,0,0,0,84,90,21099.065,6581.964,13.99,0.067,9.792,NaN,192.467,NaN,1623.472,7.858,0.695,0.42,0.3,0,0.12,0.493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.855,90,9.209,910.933,0.001,336.88,0.034,2175573.087,15.524,189.288,0.01,0.009,0.001
0.201,1.028,891.028,11.761,11.83,66.927,67.296,0.115,0,0.115,90,1.278,7.034,31.94,-102,8.302,0,0,0,84,90,21090.794,6573.693,13.984,0.067,9.792,NaN,192.433,NaN,1625.461,7.871,0.748,0.417,0.297,0,0.12,0.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.72,90,9.208,910.921,0.001,336.879,0.036,2294582.06,15.524,189.288,0.01,0.009,0.001
0.211,1.149,891.149,12.431,12.504,67.047,67.417,0.128,0,0.128,90,1.349,7.047,31.94,-102,7.864,0,0,0,84,90,21082.523,6565.423,13.978,0.067,9.792,NaN,192.4,NaN,1627.45,7.883,0.818,0.414,0.294,0,0.12,0.469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.719,90,9.208,910.907,0.001,336.879,0.038,2420605.517,15.524,189.288,0.01,0.009,0.002
0.221,1.277,891.277,13.102,13.179,67.168,67.538,0.142,0,0.142,90,1.419,7.06,31.94,-102,7.469,0,0,0,84,90,21074.253,6557.152,13.972,0.067,9.792,NaN,192.367,NaN,1629.439,7.896,0.894,0.412,0.292,0,0.12,0.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.719,90,9.207,910.893,0.001,336.878,0.04,2546979.51,15.524,189.288,0.01,0.01,0.002
0.231,1.411,891.411,13.774,13.855,67.288,67.659,0.157,0,0.157,90,1.49,7.072,31.94,-102,7.111,0,0,0,84,90,21065.982,6548.882,13.966,0.067,9.792,NaN,192.334,NaN,1631.427,7.909,0.977,0.412,0.292,0,0.12,0.459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.718,90,9.206,910.878,0.001,336.878,0.042,2673685.805,15.524,189.288,0.01,0.01,0.002
0.241,1.552,891.552,14.448,14.532,67.408,67.779,0.172,0,0.172,90,1.561,7.085,31.94,-102,6.784,0,0,0,84,90,21057.712,6540.611,13.959,0.067,9.792,NaN,192.301,NaN,1633.416,7.922,1.064,0.413,0.292,0,0.12,0.456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.718,90,9.205,910.862,0.001,336.877,0.044,2800709.544,15.524,189.288,0.01,0.01,0.002
0.251,1.7,891.7,15.122,15.21,67.528,67.9,0.188,0,0.188,90,1.632,7.097,31.94,-102,6.507,0,0,0,84,90,21049.441,6532.34,13.953,0.067,9.792,NaN,192.268,NaN,1635.405,7.934,1.156,0.413,0.292,0,0.12,0.453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.723,90,9.204,910.846,0.001,336.876,0.046,2928277.897,15.524,189.288,0.01,0.01,0.002
0.261,1.855,891.855,15.798,15.89,67.647,68.02,0.205,0,0.205,90,1.703,7.11,31.94,-102,6.435,0,0,0,84,90,21041.171,6524.07,13.947,0.067,9.792,NaN,192.235,NaN,1637.394,7.947,1.259,0.413,0.292,0,0.12,0.452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.781,90,9.203,910.828,0.001,336.876,0.048,3058260.359,15.524,189.288,0.01,0.011,0.002
0.271,2.016,892.016,16.475,16.571,67.767,68.14,0.222,0,0.222,90,1.774,7.123,31.94,-102,6.368,0,0,0,84,90,21032.9,6515.799,13.941,0.067,9.792,NaN,192.202,NaN,1639.383,7.96,1.367,0.413,0.292,0,0.12,0.452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.839,90,9.202,910.81,0.001,336.875,0.05,3188467.833,15.524,189.288,0.01,0.011,0.002
0.281,2.184,892.184,17.154,17.253,67.886,68.26,0.24,0,0.24,90,1.845,7.135,31.94,-102,6.306,0,0,0,84,90,21024.629,6507.529,13.935,0.067,9.792,NaN,192.168,NaN,1641.372,7.973,1.479,0.413,0.292,0,0.12,0.451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.897,90,9.201,910.791,0.001,336.875,0.052,3318899.413,15.524,189.288,0.01,0.011,0.002
0.291,2.359,892.359,17.833,17.936,68.005,68.38,0.259,0,0.259,90,1.916,7.148,31.94,-102,6.248,0,0,0,84,90,21016.359,6499.258,13.929,0.067,9.792,NaN,192.135,NaN,1643.36,7.985,1.596,0.413,0.292,0,0.12,0.451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.955,90,9.2,910.772,0.001,336.874,0.054,3449554.254,15.524,189.288,0.01,0.011,0.002
0.301,2.541,892.541,18.514,18.62,68.124,68.499,0.278,0,0.278,90,1.988,7.16,31.94,-102,6.189,0,0,0,84,90,21008.088,6490.988,13.923,0.067,9.792,NaN,192.102,NaN,1645.349,7.998,1.717,0.413,0.292,0,0.12,0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.011,90,9.198,910.752,0.001,336.873,0.056,3580363.147,15.524,189.288,0.01,0.011,0.002
0.311,2.729,892.729,19.196,19.306,68.243,68.619,0.299,0,0.299,90,2.06,7.173,31.94,-102,6.09,0,0,0,84,90,20999.818,6482.717,13.917,0.067,9.792,NaN,192.069,NaN,1647.338,8.011,1.84,0.413,0.292,0,0.12,0.449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.052,90,9.197,910.731,0.001,336.872,0.058,3710782.668,15.524,189.288,0.01,0.012,0.002
0.321,2.925,892.925,19.879,19.993,68.362,68.738,0.32,0,0.32,90,2.131,7.185,31.94,-102,5.997,0,0,0,84,90,20991.547,6474.446,13.91,0.067,9.792,NaN,192.035,NaN,1649.327,8.024,1.968,0.413,0.292,0,0.12,0.448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.093,90,9.196,910.709,0.001,336.872,0.06,3841431.188,15.524,189.288,0.01,0.012,0.002
0.331,3.127,893.127,20.563,20.681,68.48,68.858,0.341,0,0.341,90,2.203,7.198,31.94,-102,5.91,0,0,0,84,90,20983.277,6466.176,13.904,0.067,9.792,NaN,192.002,NaN,1651.316,8.037,2.101,0.413,0.292,0,0.121,0.447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.133,90,9.195,910.686,0.001,336.871,0.062,3972307.326,15.524,189.288,0.01,0.012,0.003
0.341,3.336,893.336,21.248,21.37,68.599,68.977,0.364,0,0.364,90,2.275,7.21,31.94,-102,5.828,0,0,0,84,90,20975.006,6457.905,13.898,0.067,9.792,NaN,191.968,NaN,1653.304,8.05,2.238,0.413,0.292,0,0.121,0.447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.174,90,9.193,910.663,0.001,336.87,0.064,4103409.81,15.524,189.288,0.01,0.012,0.003
0.351,3.552,893.552,21.935,22.06,68.718,69.096,0.387,0,0.387,90,2.348,7.223,31.94,-102,5.741,0,0,0,84,90,20966.735,6449.635,13.892,0.067,9.792,NaN,191.935,NaN,1655.293,8.063,2.379,0.413,0.292,0,0.121,0.446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.211,90,9.192,910.639,0.001,336.869,0.067,4234588.076,15.524,189.288,0.01,0.012,0.003
0.361,3.775,893.775,22.623,22.752,68.836,69.215,0.411,0,0.411,90,2.42,7.235,31.94,-102,5.574,0,0,0,84,90,20958.465,6441.364,13.886,0.067,9.792,NaN,191.902,NaN,1657.282,8.075,2.519,0.413,0.292,0,0.121,0.444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.213,90,9.19,910.614,0.001,336.868,0.069,4364662.753,15.524,189.288,0.01,0.013,0.003
0.371,4.004,894.004,23.312,23.444,68.955,69.335,0.435,0,0.435,90,2.492,7.247,31.94,-102,5.417,0,0,0,84,90,20950.194,6433.094,13.88,0.067,9.792,NaN,191.868,NaN,1659.271,8.088,2.663,0.413,0.292,0,0.121,0.443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.215,90,9.189,910.588,0.001,336.867,0.071,4494989.446,15.524,189.288,0.01,0.013,0.003
0.381,4.241,894.241,24.002,24.138,69.073,69.454,0.461,0,0.461,90,2.565,7.26,31.94,-102,5.268,0,0,0,84,90,20941.924,6424.823,13.874,0.067,9.792,NaN,191.835,NaN,1661.26,8.101,2.811,0.413,0.292,0,0.121,0.441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.217,90,9.187,910.562,0.001,336.866,0.073,4625564.918,15.524,189.288,0.01,0.013,0.003
0.391,4.484,894.484,24.693,24.833,69.192,69.573,0.487,0,0.487,90,2.637,7.272,31.94,-102,5.127,0,0,0,84,90,20933.653,6416.553,13.867,0.067,9.792,NaN,191.801,NaN,1663.248,8.114,2.964,0.413,0.292,0,0.121,0.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.219,90,9.186,910.534,0.001,336.866,0.075,4756386.222,15.524,189.288,0.01,0.013,0.003
0.401,4.735,894.735,25.386,25.53,69.31,69.691,0.513,0,0.513,90,2.71,7.285,31.94,-102,5.025,0,0,0,84,90,20925.383,6408.282,13.861,0.067,9.792,NaN,191.768,NaN,1665.237,8.127,3.124,0.413,0.292,0,0.121,0.439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.236,90,9.184,910.506,0.001,336.865,0.077,4887971.844,15.524,189.288,0.01,0.013,0.003
0.411,4.992,894.992,26.079,26.227,69.426,69.809,0.541,0,0.541,90,2.783,7.297,31.94,-102,5.203,0,0,0,84,90,20917.112,6400.011,13.855,0.067,9.792,NaN,191.734,NaN,1667.226,8.14,3.314,0.413,0.292,0,0.121,0.441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.382,90,9.183,910.478,0.001,336.864,0.079,5024500.754,15.524,189.288,0.01,0.014,0.003
# Event LAUNCHROD occurred at t=0.421 seconds
0.421,5.256,895.256,26.774,26.926,69.476,69.929,0.569,0,0.569,90,2.856,7.942,31.94,-102,5.372,0,0,0,84,90,20908.842,6391.741,13.849,0.067,9.792,212.795,191.7,1.359,1669.215,8.153,3.509,0.413,0.292,0,0.121,0.443,1.011,1.374,-0,0,0,0,0,0,2.529,90,9.181,910.448,0.001,336.862,0.081,5161287.667,15.524,189.288,0.015,0.014,0.003
0.436,5.666,895.666,27.818,27.976,69.656,70.104,0.613,0,0.613,90,2.975,7.907,31.94,-102,5.625,0,0.111,0,83.999,90,20896.436,6379.335,13.84,0.067,9.792,212.337,191.65,1.333,1672.198,8.172,3.817,0.413,0.292,0,0.121,0.445,1.07,1.426,-0,0,0,0,0,0,2.748,90,9.178,910.402,0.001,336.861,0.084,5367111.355,15.524,189.288,0.023,0.014,0.003
0.459,6.309,896.309,29.388,29.556,69.926,70.365,0.682,0,0.682,90,3.152,7.854,31.94,-102,5.944,0,0.303,-0,83.995,90,20877.827,6360.726,13.826,0.067,9.792,211.776,191.574,1.301,1676.673,8.201,4.301,0.413,0.292,0,0.121,0.448,1.144,1.489,-0,0,0,0,0,0,3.067,90,9.174,910.331,0.001,336.858,0.089,5676469.548,15.524,189.288,0.034,0.014,0.004
0.492,7.341,897.341,31.755,31.938,70.328,70.757,0.792,0,0.792,90,3.416,7.782,31.94,-102,6.299,0,0.648,0,83.979,90,20849.914,6332.813,13.805,0.067,9.792,211.168,191.46,1.269,1683.385,8.245,5.078,0.414,0.292,0.001,0.121,0.452,1.229,1.56,-0,0,0,0,0,0.001,3.519,90,9.167,910.215,0.001,336.854,0.096,6141660.748,15.524,189.288,0.05,0.014,0.004
0.542,9.017,899.017,35.286,35.49,70.912,71.34,0.973,0,0.973,90,3.805,7.805,31.94,-102,5.983,0,1.272,0,83.931,90,20808.561,6291.46,13.774,0.067,9.792,211.722,191.291,1.316,1693.329,8.31,6.217,0.414,0.292,0.001,0.121,0.449,1.154,1.516,0,0,0,0,0,0.002,3.728,90,9.156,910.028,0.001,336.848,0.107,6816762.401,15.524,189.288,0.05,0.015,0.004
0.592,10.87,900.87,38.846,39.072,71.483,71.927,1.173,0,1.173,90,4.2,7.983,31.94,-102,5.111,0,1.981,0,83.85,90,20767.208,6250.107,13.742,0.067,9.792,213.308,191.121,1.429,1703.273,8.376,7.358,0.414,0.292,0.001,0.122,0.441,0.953,1.359,-0,0,0,0,0,0.003,3.535,90,9.144,909.821,0.001,336.84,0.118,7482029.338,15.524,189.288,0.05,0.015,0.005
0.642,12.902,902.902,42.434,42.683,72.053,72.502,1.393,0,1.393,90,4.601,8.058,31.94,-102,5.138,0,2.783,0,83.732,90,20725.855,6208.755,13.711,0.067,9.792,213.27,190.95,1.438,1713.217,8.442,8.801,0.415,0.292,0.001,0.122,0.442,0.959,1.374,0,0,0,0,0,0.005,3.96,90,9.131,909.594,0.001,336.832,0.129,8175974.914,15.524,189.288,0.05,0.015,0.005
0.692,15.114,905.114,46.051,46.322,72.606,73.08,1.633,0,1.633,90,5.009,8.311,31.94,-102,4.654,0,3.72,-0,83.569,90,20684.502,6167.402,13.679,0.067,9.792,214.206,190.779,1.509,1723.161,8.508,10.249,0.415,0.292,0.001,0.123,0.438,0.853,1.278,-0,0,0,0,0,0.008,4.012,90,9.117,909.347,0.001,336.824,0.139,8861294.938,15.524,189.288,0.05,0.015,0.006
0.742,17.507,907.507,49.694,49.991,73.142,73.658,1.894,0,1.894,90,5.434,8.702,31.94,-102,4.011,0,4.712,-0,83.359,90,20643.15,6126.049,13.648,0.067,9.792,215.506,190.607,1.604,1733.105,8.574,11.766,0.416,0.292,0.001,0.123,0.433,0.716,1.137,0,0,0,0,0,0.011,3.913,90,9.101,909.079,0.001,336.814,0.15,9546741.897,15.524,189.288,0.006,0.015,0.006
0.748,17.794,907.794,50.115,50.414,73.203,73.724,1.926,0,1.926,90,5.484,8.754,31.94,-102,3.937,0,4.828,-0,83.331,90,20638.394,6121.293,13.644,0.067,9.792,215.659,190.587,1.615,1734.249,8.582,11.948,0.416,0.292,0.001,0.123,0.433,0.701,1.121,-0,0,0,0,0,0.012,3.9,90,9.099,909.047,0.001,336.813,0.151,9625892.302,15.524,189.288,0.009,0.015,0.006
0.757,18.229,908.229,50.747,51.05,73.255,73.785,1.973,0,1.973,90,5.56,8.829,31.94,-102,3.83,0,5.002,-0,83.289,90,20630.821,6113.721,13.638,0.067,9.792,215.886,190.555,1.632,1735.135,8.589,12.224,0.416,0.292,0.001,0.123,0.432,0.679,1.096,-0,0,0,0,0,0.012,3.882,90,9.097,908.999,0.001,336.811,0.153,9744784.706,15.524,189.288,0.013,0.016,0.006
0.77,18.892,908.892,51.695,52.005,73.333,73.877,2.046,0,2.046,90,5.675,8.947,31.94,-102,3.67,0,5.264,0,83.223,90,20619.462,6102.362,13.63,0.067,9.792,216.225,190.508,1.657,1736.464,8.6,12.646,0.416,0.291,0.001,0.123,0.431,0.646,1.058,0,0,0,0,0,0.013,3.857,90,9.092,908.925,0.001,336.809,0.156,9923346.693,15.524,189.288,0.019,0.016,0.006
0.789,19.909,909.909,53.119,53.44,73.447,74.014,2.158,0,2.158,89.999,5.851,9.136,31.94,-102,3.433,0,5.657,0,83.117,90,20602.424,6085.323,13.616,0.067,9.792,216.738,190.437,1.694,1738.458,8.617,13.293,0.416,0.291,0.001,0.123,0.43,0.599,1,-0,0,0,0,0,0.014,3.819,90,9.086,908.811,0.001,336.805,0.16,10191628.294,15.524,189.288,0.029,0.016,0.007
0.818,21.486,911.486,55.26,55.598,73.611,74.219,2.332,0,2.332,89.999,6.121,9.48,31.94,-102,2.99,0,6.237,0,82.943,90,20576.866,6059.765,13.597,0.067,9.792,217.723,190.329,1.765,1741.448,8.643,14.271,0.417,0.291,0.002,0.124,0.427,0.512,0.887,0,0,0,0,0,0.016,3.669,90,9.075,908.635,0.001,336.799,0.167,10591977.54,15.524,189.288,0.044,0.016,0.007
0.862,23.97,913.97,58.479,58.844,73.847,74.524,2.609,0,2.609,89.999,6.548,10.026,31.94,-102,2.446,0,7.043,0,82.653,90,20538.529,6021.428,13.567,0.067,9.792,218.991,190.168,1.857,1745.933,8.681,15.853,0.417,0.291,0.002,0.124,0.424,0.409,0.741,-0,0,0,0,0,0.019,3.546,90,9.059,908.357,0.001,336.789,0.176,11198082.743,15.524,189.288,0.05,0.016,0.007
0.912,26.986,916.986,62.178,62.578,74.111,74.862,2.949,0,2.949,89.999,7.062,10.58,31.94,-102,2.284,0,7.992,-0,82.278,90,20494.629,5977.528,13.533,0.067,9.792,219.396,189.983,1.895,1751.07,8.726,17.932,0.418,0.291,0.002,0.125,0.424,0.379,0.697,0,0,0,0,0,0.021,3.908,90,9.04,908.02,0.001,336.777,0.187,11911201.369,15.524,189.288,0.05,0.017,0.008
0.962,30.188,920.188,65.889,66.327,74.34,75.203,3.315,0,3.315,89.999,7.609,11.365,31.94,-102,1.761,0,8.925,0,81.854,90,20450.729,5933.629,13.499,0.067,9.792,220.699,189.797,1.991,1756.206,8.77,20.036,0.418,0.291,0.002,0.125,0.422,0.286,0.545,0,0,0,0,0,0.023,3.898,90,9.019,907.663,0.001,336.764,0.199,12615034.917,15.524,189.288,0.05,0.017,0.008
1.012,33.575,923.575,69.611,70.093,74.528,75.547,3.71,0,3.71,89.999,8.203,12.365,31.94,-102,0.962,0,9.605,0.001,81.39,89.999,20406.829,5889.729,13.465,0.067,9.792,222.803,189.61,2.138,1761.342,8.815,22.212,0.419,0.291,0.003,0.126,0.42,0.151,0.297,-0,0,0,0,0,0.024,3.537,90,8.997,907.284,0.001,336.751,0.21,13310596.814,15.524,189.288,0.05,0.017,0.009
